id;code_id;code;label_en;label_sv;label_fi
1;515ce020-50cf-40d9-835e-1c7076732fb7;0-6;0-6 Years old;0-6 År;0-6 vuotta
2;44d2d6ff-856d-4659-b20f-8aadee9d8d31;6-8;6-8 Years Old;6-8 År1;6-8 vuotta
3;214cc647-d26d-4ed6-ab6b-4c51c58db15b;9-10;9-10 Years Old;9-10 År;9-10 vuotta
4;b2f3fd79-f7bf-4fdb-a365-1ab9e6d69ba7;11-12;11-12 Years Old;11-12 År;11-12 vuotta
5;1173399d-68fb-4b9f-b6d6-f0d50d9fe29e;13-15;13-15 Years Old;13-15 År;13-15 vuotta
6;b193af67-7071-40ef-bdbd-289ff02cdcb3;16-18;16-18 Years Old;16-18 År;16-18 vuotta
7;2de68d76-6532-4f6e-bfeb-2b80419bc673;18+;18+ Years Old;18+ År;18+ vuotta
